TEAM_ID|DIVISION|LEAGUE|PREFIX_1|PREFIX_2|TEAM|URL
VCU|Atlantic 10|mens-college-basketball|2670|vcu-rams|VCU|http://www.espn.com/mens-college-basketball/team/_/id/2670/vcu-rams
Boston College|ACC|mens-college-basketball|103|boston-college-eagles|Boston College|http://www.espn.com/mens-college-basketball/team/_/id/103/boston-college-eagles
Clemson|ACC|mens-college-basketball|228|clemson-tigers|Clemson|http://www.espn.com/mens-college-basketball/team/_/id/228/clemson-tigers
Duke|ACC|mens-college-basketball|150|duke-blue-devils|Duke|http://www.espn.com/mens-college-basketball/team/_/id/150/duke-blue-devils
Florida State|ACC|mens-college-basketball|52|florida-state-seminoles|Florida State|http://www.espn.com/mens-college-basketball/team/_/id/52/florida-state-seminoles
Georgia Tech|ACC|mens-college-basketball|59|georgia-tech-yellow-jackets|Georgia Tech|http://www.espn.com/mens-college-basketball/team/_/id/59/georgia-tech-yellow-jackets
Louisville|ACC|mens-college-basketball|97|louisville-cardinals|Louisville|http://www.espn.com/mens-college-basketball/team/_/id/97/louisville-cardinals
Miami|ACC|mens-college-basketball|2390|miami-hurricanes|Miami|http://www.espn.com/mens-college-basketball/team/_/id/2390/miami-hurricanes
NC State|ACC|mens-college-basketball|152|nc-state-wolfpack|NC State|http://www.espn.com/mens-college-basketball/team/_/id/152/nc-state-wolfpack
UNC|ACC|mens-college-basketball|153|north-carolina-tar-heels|UNC|http://www.espn.com/mens-college-basketball/team/_/id/153/north-carolina-tar-heels
Notre Dame|ACC|mens-college-basketball|87|notre-dame-fighting-irish|Notre Dame|http://www.espn.com/mens-college-basketball/team/_/id/87/notre-dame-fighting-irish
Pitt|ACC|mens-college-basketball|221|pittsburgh-panthers|Pitt|http://www.espn.com/mens-college-basketball/team/_/id/221/pittsburgh-panthers
Syracuse|ACC|mens-college-basketball|183|syracuse-orange|Syracuse|http://www.espn.com/mens-college-basketball/team/_/id/183/syracuse-orange
UVA|ACC|mens-college-basketball|258|virginia-cavaliers|UVA|http://www.espn.com/mens-college-basketball/team/_/id/258/virginia-cavaliers
